ID,mox,mox_FDR,moxYG,moxYG_FDR,logCPM
YBR072W,-1.292203164,0.002077951,-0.557656536,0.257126347,4.464987104
YBR073W,0.482415271,0.201434195,-0.185628861,0.711270825,3.644837148
YBR074W,0.518268825,0.173785592,0.692955668,0.046413175,6.257965158
YBR076C-A,-0.861070603,0.043947948,-0.352975125,0.495902858,4.289816146
YBR076W,-1.420121011,7.88E-05,-0.948534619,0.012586384,3.400994879
YBR077C,-0.458809256,0.224221923,-0.300092703,0.474956506,4.907046268
YBR078W,0.864533581,0.023527463,0.738320241,0.052577293,11.19112519
YBR079C,0.502703807,0.222082013,0.624406417,0.1059654,6.248819436
YBR080C,-0.438860151,0.285541222,-0.07176829,0.931633175,5.455938132
YBR081C,0.308974903,0.494929693,-0.36177303,0.414214137,3.070725066
YBR082C,-0.028003753,1,0.009574459,1,6.695290559
YBR083W,0.602982539,0.292302942,-0.30566037,0.670426742,2.290258096
YBR084C-A,0.617228394,0.233801702,-0.115105003,0.900567855,8.851713413
YBR084W,0.111478553,0.850631838,-0.037981331,0.991881047,6.150915771
YBR085C-A,0.311215301,0.485553909,1.472199409,8.86E-06,7.193492881
YBR085W,-0.724230484,0.083414571,-0.768463344,0.053999775,3.266117212
YBR086C,0.815659217,0.024340086,0.992920275,0.003635267,8.416072985
YBR087W,0.23447526,0.693055473,-0.353204916,0.527860082,4.149879114
YBR088C,-0.084331175,0.936900736,-0.420087544,0.466440177,4.091100948
YBR089C-A,-0.010934107,1,0.748475493,0.036981817,5.915540589
YBR089W,-0.076051173,0.937929217,-0.464122638,0.342351795,3.198642499
YBR090C,1.276738365,0.109755061,0.709061176,0.425538679,3.860912329
YBR091C,-0.191493004,0.661141882,-0.081924728,0.901323389,3.146951925
YBR092C,1.944505121,3.53E-11,2.207169112,5.42E-14,7.329054867
YBR093C,-2.908009982,3.52E-07,-1.941173718,0.000944854,6.029604881
YBR094W,-0.009115748,1,-0.053512703,0.947946689,3.593603861
YBR095C,0.65032241,0.155547505,-0.150761782,0.835184612,2.780356249
YBR096W,0.119739442,0.83470808,0.263563758,0.582259147,7.769056941
YBR097W,-0.132862576,0.771192016,0.173854897,0.702136951,3.909049272
YBR098W,0.433513626,0.2180724,0.853876472,0.004459118,3.597135038
YBR099C,1.610620539,0.197171424,3.549323526,9.74E-05,-2.198075309
YBR101C,0.614491318,0.173519316,0.133905829,0.849278721,5.169565865
YBR102C,0.015384881,1,-0.771817252,0.030765587,2.78904787
YBR103C-A,-1.240386116,0.251189351,-0.771420703,0.527860082,-2.978308353
YBR103W,0.206889696,0.629798759,-0.303741835,0.459546641,2.925444519
YBR104W,0.084588396,0.912309126,-0.235651248,0.669540741,4.559557853
YBR105C,0.043501787,0.975543633,0.215256227,0.67224434,5.626771787
YBR106W,-0.300006911,0.499866054,-0.458269806,0.25754987,8.349270718
YBR107C,-2.418399455,2.74E-07,-1.816474234,0.000182988,5.588692263
YBR108W,0.277885324,0.537431673,0.140360842,0.811955716,3.224372672
YBR109C,-0.320875729,0.469386749,-0.098241242,0.888259132,7.188834408
YBR109W-A,0.582179249,0.408764178,0.866691787,0.178648105,1.926275156
YBR110W,0.434160729,0.300852717,0.893303697,0.011853706,6.244497205
YBR111C,-0.612192481,0.098360928,-0.720002899,0.037518983,5.894601161
YBR111W-A,-0.197100309,0.664146921,-0.448290697,0.233904429,3.196278127
YBR112C,0.555389428,0.096149293,0.367807547,0.30556779,4.070943203
